f6ae8f78-1a53-422c-bec5-bcf09fac8d85,<p>“两个转变”指 {{c1::从唯心主义向唯物主义、从革命民主主义向共产主义的转变}}</p>,2020-11-05T20:48:04+08:00,Marxism
6e70b2a0-5b54-4f2f-ae25-6634c4d5d430,<p>马克思一生的两个伟大发现为 {{c1::唯物史观、剩余价值学说}}</p>,2020-11-05T20:51:01+08:00,Marxism
87d95ce1-d35e-4337-8e3b-f94f6dafe0c5,<p>{{c1::恩格斯}}总结哲学发展的历史，明确提出{{c1::思维(意识)和存在(物质)的关系}}问题是哲学的基本问题</p>,2020-11-05T20:11:56+08:00,Marxism
fc126612-5f3d-4cba-a6ee-90c4f1dd2ee3,"<p>哲学的基本问题为 {{c1::存在(物质)与思维(意识)的关系问题}}，其内容为：</p>
<ul>
<li>{{c1::思维和存在何者是第一性 (物质和意识何者为本原)，区分唯物、唯心主义}}</li>
<li>{{c1::思维和存在有无同一性 (意识是否可以反映物质，区分可知论、不可知论)}</li>
</ul>",2020-11-05T20:26:53+08:00,Marxism
4d3320ab-b44c-45b6-8036-99116158b8b4,"<p>社会历史观的基本问题为 {{c1::社会存在与社会意识的关系问题}}，其内容为：</p>
<ul>
<li>{{c1::唯物史观：社会存在决定社会意识}}</li>
<li>{{c1::唯心史观：社会意识决定社会存在}}</li>
</ul>",2020-11-05T21:37:14+08:00,Marxism
91aaf588-6dfa-45bb-9ee9-d82e3ecbe887,"<p>哲学的方法论包括</p>
<ul>
<li>{{c1::辩证法：联系和发展的眼光看问题}}: 发展的根本原因在于事物的内部矛盾</li>
<li>{{c1::形而上学：孤立和静止的眼光看问题}}: 否认事物内部矛盾的存在和作用</li>
</ul>",2020-11-05T21:28:44+08:00,Marxism
65ced32c-9c1d-45ac-b00a-dfa9e361c04a,"<p>唯物主义的三种形态</p>
<ul>
<li>古代朴素唯物主义: {{c1::自发猜测，未经哲学论证 (水是物质的起源)}}</li>
<li>近代形而上学唯物主义: {{c1::自然科学角度论证 (原子是物质的起源)}}</li>
<li>现代辩证唯物主义</li>
</ul>",2020-11-05T21:10:57+08:00,Marxism
5d7fc484-831e-4770-be7c-b4175598f0dd,"<p>唯心主义的分类</p>
<ul>
<li>主观唯心主义: {{c1::凭借内在意志、感觉、经验}}</li>
<li>客观唯心主义: {{c1::凭借客观意志（上帝）}}</li>
</ul>",2020-11-05T21:14:33+08:00,Marxism
74dce874-465a-401e-88f2-dac698428907,<p>物质是 {{c1::不依赖于人的意识而存在，并能为人的意识所反映的客观存在}}</p>,2020-11-05T21:49:20+08:00,Marxism
b51637fe-8d78-4a0b-8e71-ba1c215f7257,"<p>马克思主义物质观的理论意义</p>
<ol>
<li>{{c1::坚持了唯物主义，同唯心主义、二元论划清了界限}}</li>
<li>{{c1::坚持了能动的反映论和可知论，有力地批判了不可知论}}</li>
<li>{{c1::坚持了唯物论与辩证法的统一}}</li>
<li>{{c1::坚持了唯物主义自然观与唯物主义历史观的统一}}</li>
</ol>",2020-11-05T21:46:04+08:00,Marxism
a4b94fcc-ea4d-452d-94ce-dd130bd4db59,"<p>物质与运动的关系</p>
<ol>
<li>{{c1::运动是物质的存在方式与根本属性}}</li>
<li>{{c1::物质是一切运动变化和发展过程的承担者}}</li>
</ol>",2020-11-05T21:57:51+08:00,Marxism
b53c7835-8c96-4d6e-a173-c83eff0227f3,"<ul>
<li>设想不运动的物质将导致 {{c1::形而上学}}</li>
<li>设想无物质的运动将导致 {{c1::唯心主义}}</li>
<li>夸大绝对运动而否认相对静止将导致 {{c1::相对主义诡辩论}}</li>
<li>夸大相对静止而否认绝对运动将导致 {{c1::形而上学不变论}}</li>
</ul>",2020-11-05T22:05:34+08:00,Marxism
724d702c-bb64-476c-ac58-d0f8cd91c0a3,"<p>物质与意识的关系: {{c1::物质决定意识，意识对物质具有反作用}}</p>
<ul>
<li>意识产生的决定性因素为 {{c1::劳动}}</li>
<li>意识产生的物质外壳 {{c1::语言}}</li>
<li>意识的本质是 {{c1::物质世界的主观映像}}，在内容上是 {{c1::客观::客观/主观}} 的，形式上是 {{c1::主观::客观/主观}} 的。</li>
</ul>",2020-11-06T17:56:25+08:00,Marxism
826ed639-d3d1-436b-830d-d502f55c6557,"<p>意识的能动作用表现在</p>
<ol>
<li>{{c1::具有目的性和计划性}}</li>
<li>{{c1::具有创造性}}</li>
<li>{{c1::<strong>具有指导时间改造客观世界的作用（最突出）</strong>}}</li>
<li>{{c1::具有调控人的行为和生理活动的作用}}</li>
</ol>",2020-11-06T18:04:44+08:00,Marxism
